 Active Life,150
 Afghan,7
 African,801
 Alsatian,17
 Amateur Sports Teams,5
 American (New),83022
 American (Traditional),83607
 Amusement Parks,256
 Antiques,242
 Appliances,6
 Arabian,144
 Argentine,287
 Arts & Crafts,27
 Asian Fusion,22506
 Australian,109
 Austrian,8
 Automotive,588
 Baden,61
 Bagels,8256
 Bakeries,4027
 Bangladeshi,40
 Banks & Credit Unions,2
 Barbeque,34646
 Bartenders,4
 Basque,60
 Bavarian,1
 Beauty & Spas,16
 Bed & Breakfast,26
 Beer,4052
 Beer Garden,196
 Beer Hall,10
 Belgian,284
 Bikes,12
 Bistros,37
 Boating,1
 Books,24
 Bookstores,39
 Bowling,32
 Brasseries,160
 Brazilian,3716
 Breakfast & Brunch,54744
 Breweries,9357
 British,1956
 Bubble Tea,1360
 Buffets,22118
 Burgers,6044
 Butcher,747
 Cafes,38296
 Cafeteria,11
 Cajun/Creole,5965
 Cambodian,158
 Canadian (New),1683
 Candy Stores,81
 Cantonese,2372
 Caribbean,4230
 Caterers,1513
 Cheese Shops,207
 Cheesesteaks,1305
 Chicken Shop,686
 Chicken Wings,12071
 Chinese,45451
 Chocolatiers & Shops,370
 Coffee & Tea,31682
 Colleges & Universities,3
 Colombian,614
 Comfort Food,4026
 Convenience Stores,411
 Cooking Schools,51
 Cosmetics & Beauty Supply,4
 Creperies,3965
 Cuban,614
 Cupcakes,154
 Curry Sausage,34
 Czech,11
 Day Spas,12
 Delicatessen,79
 Delis,11224
 Department Stores,25
 Desserts,20348
 Dim Sum,4598
 Diners,19898
 Distilleries,312
 Do-It-Yourself Food,319
 Dominican,91
 Donuts,2272
 Eastern European,1
 Education,51
 Egyptian,72
 Empanadas,91
 Ethiopian,711
 Ethnic Food,4215
 Ethnic Grocery,31
 Event Planning & Services,5296
 Falafel,5
 Farmers Market,183
 Fashion,41
 Filipino,1874
 Financial Services,27
 Fish & Chips,3019
 Fitness & Instruction,12
 Florists,3
 Fondue,393
 Food,25356
 Food Court,546
 Food Delivery Services,827
 Food Stands,903
 Food Trucks,3947
 French,20351
 Fruits & Veggies,398
 Furniture Stores,3
 Gas & Service Stations,626
 Gastropubs,1821
 Gelato,1020
 German,277
 Gluten-Free,13804
 Golf,242
 Golf Equipment Shops,19
 Greek,1210
 Grocery,2956
 Guest Houses,1
 Haitian,17
 Halal,3117
 Hawaiian,10146
 Health & Medical,21
 Health Markets,176
 Herbs & Spices,36
 Hiking,1
 Himalayan/Nepalese,221
 Home & Garden,14
 Home Decor,10
 Home Services,5
 Horseback Riding,14
 Hot Dogs,6527
 Hotels,126
 Hotels & Travel,187
 Hungarian,9
 Ice Cream & Frozen Yogurt,6062
 Indian,6760
 Indonesian,197
 International,37
 Internet Cafes,226
 Italian,69537
 Japanese,76142
 Juice Bars & Smoothies,12256
 Kebab,68
 Kids Activities,92
 Kitchen & Bath,6
 Korean,972
 Kosher,50
 Lakes,2
 Laotian,180
 Latin American,5197
 Lebanese,1271
 Live/Raw Food,587
 Local Flavor,15
 Local Services,3
 Macarons,166
 Mags,45
 Malaysian,117
 Meat Shops,1077
 Mediterranean,34140
 Mexican,30199
 Middle Eastern,7913
 Modern European,425
 Mongolian,1376
 Moroccan,642
 Music & Video,45
 New Mexican Cuisine,1090
 Noodles,2710
 Organic Stores,358
 Oriental,4
 Pakistani,750
 Palatine,1
 Party & Event Planning,298
 Pasta Shops,358
 Patisserie/Cake Shop,86
 Persian/Iranian,1452
 Personal Chefs,9
 Peruvian,235
 Pizza,76032
 Poke,220
 Polish,495
 Portuguese,379
 Poutineries,648
 Pretzels,86
 Public Services & Government,3
 Puerto Rican,52
 Ramen,3437
 Real Estate,5
 Recreation Centers,14
 Restaurants,1254023
 Russian,165
 Salad,32825
 Salvadoran,700
 Sandwiches,76090
 Scandinavian,485
 Scottish,189
 Seafood,14307
 Seafood Markets,623
 Serbo Croatian,7
 Shaved Ice,467
 Shopping,460
 Singaporean,344
 Slovakian,11
 Soccer,1
 Soul Food,1855
 Soup,701
 Southern,12953
 Spanish,5941
 Specialty Food,9430
 Specialty Schools,4
 Sporting Goods,73
 Sports Clubs,4
 Sports Wear,44
 Sri Lankan,77
 Steakhouses,27872
 Street Vendors,747
 Sushi Bars,24524
 Swimming Pools,148
 Swiss Food,4
 Szechuan,356
 Taiwanese,2219
 Tapas Bars,4198
 Tapas/Small Plates,1010
 Tea Rooms,1699
 Teppanyaki,601
 Tex-Mex,6457
 Thai,3244
 Tours,10
 Toy Stores,16
 Travel Services,12
 Trinidadian,5
 Turkish,1148
 Tuscan,10
 Ukrainian,334
 Uzbek,19
 Vegan,21596
 Vegetarian,9049
 Venezuelan,72
 Venues & Event Spaces,5523
 Vietnamese,4845
 Vinyl Records,4
 Vitamins & Supplements,70
 Waffles,2161
 Wine & Spirits,4052
 Wok,3
Active Life,730
Afghan,992
African,122
American (New),54420
American (Traditional),52662
Arabian,148
Argentine,881
Arts & Crafts,24
Asian Fusion,19512
Automotive,51
Bakeries,21541
Bangladeshi,128
Barbeque,16812
Basque,606
Bavarian,13
Beer Garden,13
Belgian,939
Bistros,231
Books,21
Brasseries,1989
Brazilian,1022
Breakfast & Brunch,108300
British,1452
Buffets,26766
Burgers,71458
Burmese,177
Cafes,11076
Cafeteria,18
Cajun/Creole,6695
Cambodian,342
Canadian (New),2445
Cantonese,871
Car Wash,575
Caribbean,1449
Caterers,969
Cheese Shops,256
Cheesesteaks,2509
Chicken Shop,535
Chicken Wings,3455
Chinese,33095
Coffee & Tea,301
Comfort Food,360
Creperies,1807
Cuban,1446
Curry Sausage,14
Czech,10
Delis,14211
Dim Sum,2052
Diners,3523
Dry Cleaning & Laundry,3
Egyptian,6
Ethiopian,928
Event Planning & Services,3165
Falafel,129
Fashion,44
Filipino,1954
Fish & Chips,772
Flowers & Gifts,3
Fondue,1515
Food,104056
Food Court,161
Food Delivery Services,17
Food Stands,284
French,10651
Gas & Service Stations,13
Gastropubs,7670
German,2610
Gluten-Free,7474
Golf,55
Greek,21103
Grocery,679
Halal,27
Hardware Stores,1
Hawaiian,4406
Health Markets,117
Himalayan/Nepalese,259
Hong Kong Style Cafe,72
Hot Dogs,4350
Hot Pot,1001
Hotels,111
Hotels & Travel,99
Hungarian,46
Indian,15017
Indonesian,289
International,80
Irish,930
Italian,38044
Japanese,14429
Kebab,37
Korean,21119
Kosher,1250
Landmarks & Historical Buildings,3
Laotian,214
Latin American,5621
Lebanese,904
Live/Raw Food,1215
Malaysian,587
Mediterranean,6516
Men's Clothing,16
Mexican,103960
Middle Eastern,5183
Modern European,1240
Mongolian,749
Moroccan,217
Music & DVDs,2
New Mexican Cuisine,1572
Noodles,6047
Nutritionists,21
Pakistani,2390
Party & Event Planning,54
Persian/Iranian,1030
Personal Chefs,22
Peruvian,2541
Pita,31
Pizza,50397
Polish,672
Portuguese,1219
Poutineries,1733
Puerto Rican,525
Ramen,5482
Real Estate Services,5
Restaurants,55671
Russian,645
Salad,738
Sandwiches,23237
Scandinavian,17
Scottish,356
Seafood,55406
Senegalese,2
Serbo Croatian,7
Shanghainese,269
Shopping,121
Shopping Centers,28
Soul Food,8740
Soup,7291
Southern,7026
Spanish,2035
Specialty Food,31
Specialty Schools,47
Steakhouses,43081
Sushi Bars,60109
Szechuan,2407
Taiwanese,1700
Tapas Bars,5354
Tapas/Small Plates,9864
Tea Rooms,19
Teppanyaki,293
Tex-Mex,832
Thai,41821
Turkish,725
Ukrainian,123
Uzbek,53
Vegan,1153
Vegetarian,21679
Venezuelan,1174
Vietnamese,23541
Yoga,12
aHc3R3YV2sMY57RyGXw5qw,1
